,Eg
6247,4.576879978179932
74296,2.523933172225952
21110,1.3328619003295898
31252,1.3402498960494995
60301,0.92807799577713
55132,1.7913237810134888
91464,2.9628241062164307
53050,1.9700751304626465
26422,1.01306414604187
37380,1.771826982498169
11785,0.5286818742752075
20713,1.072726488113403
36847,0.5482271909713745
93743,5.209317207336426
94918,1.3223237991333008
47736,4.243938446044922
62631,1.1604669094085691
35755,1.1363686323165894
15831,1.03967547416687
43414,4.491941452026367
110780,0.9855524301528932
76194,1.1831862926483154
35024,3.8486251831054688
31869,2.031222343444824
69846,5.005422592163086
4070,1.3350141048431396
37849,5.123108386993408
34119,4.806972503662109
20157,0.5479263067245483
87130,2.0914864540100098
9320,2.323393106460572
9395,1.1330357789993286
30116,0.9818962216377258
65988,1.5284384489059448
22687,0.5869993567466736
81684,2.802950620651245
28267,2.4093332290649414
7836,0.8356522917747498
57280,1.2826926708221436
60596,1.414570689201355
66526,1.1881577968597412
6968,1.423762321472168
63023,2.490719795227051
97414,3.102672576904297
92026,0.9897505640983582
24275,1.3132209777832031
30394,2.2214605808258057
100121,1.956328630447388
18900,4.696535110473633
35776,3.902585029602051
67702,1.8638793230056765
49097,2.9933602809906006
110200,3.389686107635498
98318,1.0894709825515747
11474,2.864861965179444
51560,0.6510553359985352
35139,4.566306114196777
1316,1.981758713722229
46428,0.7260426878929138
100187,2.40648889541626
44915,1.9861539602279663
3452,3.322147846221924
37361,1.886041641235352
109516,1.291196346282959
80144,0.7271794676780701
12804,0.6786859631538391
82958,3.428173542022705
65366,1.5861189365386963
87519,0.5226129293441772
76212,1.8719878196716309
108283,2.6216719150543213
103614,0.6898962259292603
17751,3.377536058425904
91545,3.158666610717773
25693,2.030290126800537
58435,0.8819831609725952
6893,1.1632814407348633
48225,2.6906981468200684
82093,4.447569847106934
101549,3.160155296325684
70052,5.214988708496094
62391,0.8280694484710693
40578,0.8061774373054504
40970,0.671544075012207
17711,2.9537882804870605
39749,1.0649114847183228
44958,0.8047969341278076
35384,3.9938812255859375
81975,4.896634101867676
66205,0.8197553753852844
91221,4.262493133544922
6345,1.0448744297027588
82431,0.5595999360084534
49171,4.541572570800781
95345,0.526522159576416
63137,2.5144143104553223
93549,1.98181700706482
70155,5.014158248901367
22708,0.9389532804489136
63491,0.6285602450370789
62831,5.421178817749023
71070,1.1120026111602783
108119,2.4198904037475586
